"tramite_audiencia_name","tramite_audiencia_date","tramite_audiencia_numero_processo"
"INSTRUÇÃO","2019-02-13","0021572-35.2017.5.04.0404"
"JULGAMENTO","2018-05-16","0020478-82.2017.5.04.0103"
"JULGAMENTO","2018-04-25","0020570-94.2015.5.04.0761"
"JULGAMENTO","2018-04-25","0020498.12.2014.5.04.0028"
"JULGAMENTO","2018-04-25","0020157.52.2015.5.04.0221"
"UNA","2018-06-27","1000478.06.2018.5.02.0090"
"INICIAL","2018-06-07","1000472-88.2018.5.02.0028"
"UNA","2018-05-10","1000512-62.2018.5.02.0063"
"SENTENÇA","2018-05-25","1000399.76.2017.5.02.0085"
"JULGAMENTO","2018-04-24",""
"JULGAMENTO","2018-04-25",""
"CONCILIAÇÃO","2018-05-24","0101821-50.2017.5.01.0082"
"ENCERRAMENTO DE INSTRUÇÃO","2018-05-29","0000722-76.2017.5.07.0015"
"INSTRUÇÃO","2018-07-26","0100686-60-2016-5-01-0042"
"INSTRUÇÃO/CONTROLE DO JUIZ","2018-06-19","1000771.98.2016.5.02.0072"
"INSTRUÇÃO","2018-07-18","0011620.70.2015.5.15.0121"
"JULGAMENTO","2018-05-16","0020092.05.2015.5.04.0303"
"JULGAMENTO","2018-05-16","0020969.60.2015.5.04.0006"
"UNA","2018-10-15","0100331.43.2018.5.01.0054"
"JULGAMENTO","2018-05-16","0020334-38.2016.5.04.0752"
"INSTRUÇÃO","2018-10-31","0012072.27.2016.5.15.0095"
"UNA","2018-10-29","1000291.12.2018.5.02.0441"
"JULGAMENTO","2018-04-26","0020583-04.2014.5.04.0511"
"JULGAMENTO","2018-05-16","0020583-04.2014.5.04.0511"
"JULGAMENTO","2018-05-16","0020583-04.2014.5.04.0511"
"JULGAMENTO","2018-05-16","0020478-82.2017.5.04.0103"
"JULGAMENTO","2018-05-16","0020300.47.2016.5.04.0531"
"SENTENÇA","2019-07-24","1001482-15.2018.5.02.0402"
"HOMOLOGAÇÃO","2018-05-04","0130431.91.2015.5.13.0008"
"INSTRUÇÃO","2019-05-14","0001647-41.2017.5.06.0002"
"CONCILIAÇÃO","2018-05-21","0010921-43-2013-5-06-0172"
"INSTRUÇÃO","2018-06-27","0000161-55.2018.5.21.0006"
"INICIAL","2019-03-27","0021329-63.2018.5.04.0402"
"PERÍCIA","2018-07-31","5050102-36.2017.4.04.7100"
"JULGAMENTO - ED","2018-08-08","154394-28.2018.8.21.7000"
"CONCILIAÇÃO","2018-05-23","0001572-61.2016.5.07.0017"
"JULGAMENTO","2018-05-16",""
"INICIAL","2018-05-24","0020684-96.2017.5.04.0006"
"OITIVA DE TESTEMUNHAS","2018-08-28","0020410-35.2018.5.04.0512"
"INSTRUÇÃO","2019-06-06","1000446.35.2017.5.02.0381"
"INICIAL","2018-08-16","0001821-17.2017.5.07.0004"
"JULGAMENTO","2018-04-26","81705-83.2018.8.21.7000"
"INSTRUÇÃO","2018-06-05","0001546-96.2016.5.07.0006"
"SUSTENTAÇÃO ORAL","2018-04-30","0000643-94-2012-5-07-0008"
"SUSTENTAÇÃO ORAL","2018-04-26","0000654-95.2014.5.07.0027"
"SUSTENTAÇÃO ORAL","2018-04-26","0001858-91.2015.5.07.0011"
"INICIAL","2018-04-25","0000161-55.2018.5.21.0006"
"PERÍCIA","2018-06-05","5001139-24.2018.4.04.7112"
"INSTRUÇÃO","2019-03-12","0100985-10.2017.5.01.0072"
"INSTRUÇÃO","2018-07-31","1001930.63.2016.5.02.0432"
"UNA","2018-05-28","1000470-16.2018.5.02.0062"
"SENTENÇA","2018-06-07","0021969-95.2016.5.04.0221"
"CONCILIAÇÃO","2018-05-11","0012110.30.2016.5.15.0001"
"SUSTENTAÇÃO ORAL","2018-05-15","1001627.11.2016.5.02.0089"
"SUSTENTAÇÃO ORAL","2018-05-03","0001898-82.2015.5.07.0008"
"JULGAMENTO","2018-05-09",""
"JULGAMENTO","2018-05-10","0021429-54.2014.5.04.0015"
"SUSTENTAÇÃO ORAL","2018-05-15","0000637-58.2016.5.21.0008"
"PERÍCIA","2018-05-11","478"
"JULGAMENTO - ED","2018-05-09",""
"OITIVA DE TESTEMUNHAS","2018-05-16","1002234.35.2017.5.02.0074"
"PERÍCIA","2018-05-17","0001858-57.2016.5.07.0011"
"CONCILIAÇÃO","2018-05-22","0000210-19.2014.5.07.0009"
"PERÍCIA","2019-12-12","1001117-79.2019.5.02.0028"
"UNA","2018-04-26","0000822-10.2017.5.07.0022"
"HOMOLOGAÇÃO","2018-05-02","1002232-88.2017.5.02.0034"
"INSTRUÇÃO","2018-05-02","1001143-49.2017.5.02.0060"
"JULGAMENTO","2018-05-17","0021333-81.2015.5.04.0701"
"JULGAMENTO","2018-05-17","0000607-23.2013.5.04.0001"
"INICIAL","2018-05-07","1001835-20.2017.5.02.0716"
"JULGAMENTO","2018-05-16",""
"JULGAMENTO","2018-05-16",""
"JULGAMENTO","2018-05-30",""
"INICIAL","2018-04-30","0021054-36.2017.5.04.0019"
"INSTRUÇÃO","2018-05-08","1001763-76.2017.5.02.0055"
"INSTRUÇÃO","2018-05-09","1003541.53.2016.5.02.0205"
"INSTRUÇÃO","2018-05-09","1002467-27.2017.5.02.0205"
"UNA","2018-05-09","1000645.18.2017.5.02.0006"
"INSTRUÇÃO","2018-05-10","1001973.84.2017.5.02.0037"
"INICIAL","2018-05-10","0100037-76.2018.5.01.0058"
"INICIAL","2018-04-10","0101877-67.2017.5.01.0055"
"SENTENÇA","2018-05-11","1000704.21.2017.5.02.0001"
"INSTRUÇÃO","2018-05-16","0101357-60.2016.5.01.0082"
"SENTENÇA","2018-05-18","1001435-15.2017.5.02.0713"
"SUSTENTAÇÃO ORAL","2018-05-03","0001271-31-2013-5-07-0014"
"SUSTENTAÇÃO ORAL","2018-05-03","0000201-95.2016.5.07.0006"
"JULGAMENTO","2018-05-09","0020348-12.2015.5.04.0023"
"JULGAMENTO","2018-05-09","0021898-63.2015.5.04.0404"
"JULGAMENTO","2018-05-09","0020151-46.2013.5.04.0405"
"JULGAMENTO","2018-05-09","0020984-26.2015.5.04.0007"
"JULGAMENTO","2018-05-09","0021018-34.2016.5.04.0405"
"JULGAMENTO","2018-05-09","0021505-20.2015.5.04.0023"
"JULGAMENTO","2018-05-10","0021451-88.2014.5.04.0023"
"UNA","2018-05-07","1000387.85.2017.5.02.0045"
"JULGAMENTO","2018-05-10","0020993-89.2014.5.04.0017"
"INSTRUÇÃO","2018-05-08","1000936.05.2016.5.02.0442"
"INSTRUÇÃO","2018-05-14","1000446.35.2017.5.02.0381"
"INICIAL","2018-05-22","1001935-72.2017.5.02.0716"
"UNA","2018-05-22","1000202-30.2018.5.02.0492"
"ENCERRAMENTO DE INSTRUÇÃO","2019-07-15","1000328-65.2019.5.02.0033"
"UNA","2018-05-23","1001835-71.2017.5.02.0020"
"UNA","2018-05-24","1000331-09.2018.5.02.0048"
"UNA","2018-05-30","1001823-46.2017.5.02.0056"
"INSTRUÇÃO","2018-05-28","1001278-39.2017.5.02.0714"
"UNA","2018-05-28","1001802-81.2017.5.02.0020"
"UNA","2018-05-29","1001607-85.2017.5.02.0444"
"INSTRUÇÃO","2018-05-29","1001053-65.2017.5.02.0052"
"INSTRUÇÃO","2019-02-28","0020822-36.2017.5.04.0403"
"INSTRUÇÃO","2021-08-17","0011704-50.2018.5.15.0094"
"INSTRUÇÃO","2019-02-04","0020925-22.2016.5.04.0001"
"INICIAL","2018-05-15","0000256-85.2018.5.21.0006"
"OITIVA DE TESTEMUNHAS","2018-11-23","0010165.37.2018.5.15.0001"
"CONCILIAÇÃO","2018-05-22","0000526-56.2014.5.07.0001"
"INSTRUÇÃO","2018-06-14","0001593-70.2016.5.06.0015"
"INSTRUÇÃO","2018-06-19","0001112-45.2017.5.13.0026"
"OITIVA DE TESTEMUNHAS","2018-05-10","0000184-91.2018.5.12.0057"
"UNA","2018-05-23","1001117.16.2017.5.02.0201"
"PERÍCIA","2019-03-29",""
"UNA","2018-05-23","0101575-81.2017.5.01.0073"
"PERÍCIA","2018-05-29","0020387-25.2017.5.04.0771"
"UNA","2018-11-06","1001392-06.2017.5.02.0446"
"INSTRUÇÃO","2018-05-30","0100761.43.2017.5.01.0017"
"INSTRUÇÃO","2018-05-30","0100706.20.2017.5.01.0041"
"UNA","2018-11-06","1000306.22.2018.5.02.0201"
"INSTRUÇÃO","2018-11-07","1001750.03.2016.5.02.0382"
"UNA","2018-11-21","1000227.13.2018.5.02.0017"
"INSTRUÇÃO","2018-06-04","0001274-84.2016.5.05.0030"
"INSTRUÇÃO","2018-11-08","0101334-87.2017.5.01.0015"
"OITIVA DE TESTEMUNHAS","2018-05-08","0020427-74.2018.5.04.0802"
"INICIAL","2018-05-28","100073.36.2018.5.01.0247"
"UNA","2018-05-17","0012014.38.2016.5.15.0058"
"INSTRUÇÃO","2018-06-12","0021019-13.2016.5.04.0019"
"INSTRUÇÃO","2018-06-11","0020308-44.2017.5.04.0028"
"INSTRUÇÃO","2018-06-06","0022236-70.2016.5.04.0511"
"PERÍCIA","2018-06-20",""
"INSTRUÇÃO","2018-06-14","0021069-48.2016.5.04.0404"
"INICIAL","2019-08-27","0010851-78.2019.5.15.0038"
"INSTRUÇÃO","2018-04-26","0021879-20.2016.5.04.0017"
"SUSTENTAÇÃO ORAL","2018-05-21","0000884-47.2016.5.07.0002"
"JULGAMENTO","2018-05-23","0021272-44.2015.5.04.0016"
"JULGAMENTO","2018-05-24","77304-41.2018.8.21.7000"
"INSTRUÇÃO","2018-09-18","1002038-18.2017.5.02.0704"
"INSTRUÇÃO","2019-02-06","0022216-70.2017.5.04.0341"
"OITIVA DE TESTEMUNHAS","2018-10-16","0010571.69.2018.5.15.0062"
"PERÍCIA","2018-05-23","0022032-77.2017.5.04.0030"
"INSTRUÇÃO","2018-10-15","0000275-06.2018.5.21.0002"
"JULGAMENTO","2018-11-06","0001079-97.2013.5.04.0009"
"JULGAMENTO","2018-05-30","0020954.35.2013.5.04.0403"
"JULGAMENTO","2018-05-30","77307-93.2018.8.21.7000"
"JULGAMENTO","2018-05-30","77099-12.2018.8.21.7000"
"JULGAMENTO","2018-05-30","56763-84.2018.8.21.7000"
"INSTRUÇÃO","2018-07-30","0021641-64.2017.5.04.0405"
"UNA","2018-07-03","0100157.84.2018.5.01.0005"
"OITIVA DE TESTEMUNHAS","2018-07-24","0021075-10.2017.5.04.0731"
"JULGAMENTO","2018-08-29","0021093-55.2016.5.04.0023"
"INSTRUÇÃO","2018-09-05","1001053-65.2017.5.02.0052"
"INICIAL","2019-04-08","0021064-43.2018.5.04.0020"
"SUSTENTAÇÃO ORAL","2018-06-06","0000884-23.2016.5.07.0010"
"JULGAMENTO","2018-06-06","0020953-32.2015.5.04.0451"
"JULGAMENTO","2018-06-06","0020444-14.2016.5.04.0404"
"INSTRUÇÃO","2018-06-07","0020946-23.2016.5.04.0025"
"SENTENÇA","2018-06-29","1000388.69.2018.5.02.0034"
"UNA","2018-08-20","1000456.23.2018.5.02.0065"
"CONCILIAÇÃO","2018-06-12","0001006.17.2014.5.21.0010"
"JULGAMENTO","2018-06-14","0020649-17.2014.5.04.0015"
"JULGAMENTO","2018-06-14","0021926-91.2016.5.04.0405"
"CONCILIAÇÃO","2018-06-19","0001040-80-2012-5-02-0433"
"JULGAMENTO - ED","2018-06-21",""
"JULGAMENTO","2018-06-26",""
"INSTRUÇÃO","2018-07-03","0020166-40.2017.5.04.0028"
"OITIVA DE TESTEMUNHAS","2018-07-05","0000161-42.2018.5.12.0059"
"SUSTENTAÇÃO ORAL","2018-05-09","0000063-37.2016.5.07.0004"
"UNA","2018-12-04","0101053.96.2017.5.01.0059"
"INICIAL","2020-04-14","0101324-90.2019.5.01.0009"
"INSTRUÇÃO","2018-07-23","0020136-028.2017.5.04.0221"
"UNA","2019-01-23","0012063-40.2017.5.15.0092"
"UNA","2019-01-28","1002721-97.2017.5.02.0205"
"INSTRUÇÃO","2019-02-05","1001429-42.2017.5.02.0443"
"UNA","2019-02-19","1002962-71.2017.5.02.0205"
"UNA","2019-03-14","1003570.06.2016.5.02.0205"
"INSTRUÇÃO","2019-03-19","1002131.14.2016.5.02.0381"
"INSTRUÇÃO","2019-04-24","0011184.07.2017.5.15.0133"
"SUSTENTAÇÃO ORAL","2018-05-02","0000063-37.2016.5.07.0004"
"PERÍCIA","2018-05-04","1001690-33.2017.5.02.0014"
"UNA","2018-05-02","1000231-72.2018.5.02.0042     "
"INSTRUÇÃO","2019-10-22","0021653-69.2017.5.04.0020"
"INSTRUÇÃO","2019-11-18","0021054-36.2017.5.04.0019"
"JULGAMENTO","2018-05-02","0001387-13.2011.5.04.0007"
"JULGAMENTO","2018-11-06","0022152-02.2016.5.04.0404"
"INSTRUÇÃO","2018-10-23","0021097-49.2017.5.04.0511"
"OITIVA DE TESTEMUNHAS","2018-11-07","0020452-84.2018.5.04.0124"
"INSTRUÇÃO","2020-05-22","0020533-24.2018.5.04.0030"
"HOMOLOGAÇÃO","2018-09-13","0101979-24.2017.5.01.0206"
"SUSTENTAÇÃO ORAL","2018-05-10","1001927.73.2016.5.02.0088"
"CONCILIAÇÃO","2018-05-08","0100516.12.2017.5.01.0056"
"SENTENÇA","2018-06-04","0000201-23.2018.5.21.0043"
"HOMOLOGAÇÃO","2018-04-06","0101275-85.2017.5.01.0052"
"INSTRUÇÃO","2018-09-19","1000185.69.2017.5.02.0058"
"INSTRUÇÃO","2018-09-19","1000597.97.2017.5.02.0058"
"JULGAMENTO","2018-05-02",""
"INSTRUÇÃO","2018-05-02","0000547-21.2017.5.07.0003"
"JULGAMENTO","2018-05-03",""
"INSTRUÇÃO","2018-10-29","0021242-08.2017.5.04.0511"
"JULGAMENTO","2018-05-09",""
"OITIVA DE TESTEMUNHAS","2018-05-30","0100080.37.2018.5.01.0244"
"JULGAMENTO","2018-06-27",""
"JULGAMENTO","2018-05-30","89617-34.2018.8.21.7000"
"CONCILIAÇÃO","2018-06-04","0000864.82.2015.5.02.0082"
"PERÍCIA","2018-05-04","001/1.16.0119417-0"
"JULGAMENTO","2018-05-16","396824-45.2017.8.21.7000"
"INSTRUÇÃO","2018-07-24","0021659-40.2016.5.04.0011"
"CONCILIAÇÃO","2018-05-23","0001272-67.2014.5.07.0018"
"INSTRUÇÃO","2018-10-09","0021080-47.2016.5.04.0026"
"INSTRUÇÃO","2018-12-04","0001834-86.2017.5.07.0013"
"INSTRUÇÃO","2018-10-04","0001512-88.2016.5.07.0017"
"INSTRUÇÃO","2019-02-14","0000742-97.2017.5.07.0005"
"ENCERRAMENTO DE INSTRUÇÃO","2018-09-18","0000974-53.2015.5.07.0014"
"INSTRUÇÃO","2018-11-19","0000547-21.2017.5.07.0003"
"INSTRUÇÃO","2019-01-31","0001120-96.2016.5.07.0002"
"INSTRUÇÃO","2018-11-29","0001822-72.2017.5.07.0013"
"JULGAMENTO","2018-05-02",""
"JULGAMENTO","2018-05-02",""
"JULGAMENTO","2018-05-03",""
"INSTRUÇÃO","2018-05-04","0020955-04.2015.5.04.0030"
"INSTRUÇÃO","2018-05-04","0020955-04.2015.5.04.0030"
"JULGAMENTO","2018-05-03","0021060-47.2016.5.04.0029"
"UNA","2018-05-04","0011502-93.2017.5.15.0131"
"JULGAMENTO","2018-05-16","0021273-84.2014.5.04.0009"
"JULGAMENTO","2018-11-07",""
"JULGAMENTO","2018-05-16","0020508-55.2016.5.04.0232"
"INSTRUÇÃO","2018-06-06","0001860-12.2017.5.07.0037"
"CONCILIAÇÃO","2018-05-21","0001586-95.2013.5.07.0002"
"JULGAMENTO","2018-05-23",""
"UNA","2018-06-12","0000285-27.2018.5.21.0042"
"PERÍCIA","2018-05-11","526"
"JULGAMENTO","2018-05-23","0020918-55.2016.5.04.0025"
"JULGAMENTO","2018-05-23","0000365-89.2013.5.04.0025"
"JULGAMENTO","2018-05-24","0020393-13.2014.5.04.0003"
"PERÍCIA","2018-06-08","5009136-70.2018.4.04.7108"
"CONCILIAÇÃO","2018-06-19","0020868-48.2015.5.04.0030"
"JULGAMENTO","2018-05-23",""
"UNA","2018-06-28","0000822-10.2017.5.07.0022"
"JULGAMENTO","2018-07-04",""
"INSTRUÇÃO","2019-11-13","1000646-20.2019.5.02.0010"
"INSTRUÇÃO","2018-06-06","0001313.73.2013.5.04.0302"
"SUSTENTAÇÃO ORAL","2018-05-07","0001142-26-2013-5-07-0014"
"INSTRUÇÃO","2018-07-24","0021010-51.2016.5.04.0019"
"UNA","2018-05-07","1002288-85.2016.5.02.0025"
"INSTRUÇÃO","2018-11-26","1002288-85.2016.5.02.0025"
"INSTRUÇÃO","2018-07-24","0020631-52.2017.5.04.0221"
"INSTRUÇÃO","2018-10-11","0021166--20.2017.5.04.0014"
"INSTRUÇÃO","2018-08-08","0011282-10.2017.5.15.0030"
"INSTRUÇÃO","2018-08-14","0100233-35.2016-5-01-0246"
"INSTRUÇÃO","2018-08-06","0020258-79.2016.5.04.0019"
"INSTRUÇÃO","2018-08-08","0000578-47-2013-5-06-0023"
"INSTRUÇÃO","2018-08-08","0000041-48.2017.5.06.0011"
"INSTRUÇÃO","2019-05-06","0021417-11.2017.5.04.0023"
"INICIAL","2018-06-15","0012734-60.2017.5.15.00093"
"INSTRUÇÃO","2018-08-27","0001032.23.2014.5.06.0013"
"UNA","2018-07-31","0020910-96.2016.5.04.0019"
"INSTRUÇÃO","2018-11-07","0000022-45.2017.5.06.0010"
"JULGAMENTO","2018-10-24","0000779-62.2014.5.04.0701"
"OITIVA DE TESTEMUNHAS","2018-10-25","0000289-96.2018.5.10.0001"
"PERÍCIA","2018-05-14","1001876.26.2017.5.02.0703"
"INSTRUÇÃO","2019-01-24","0001637-31.2016.5.06.0002"
"UNA","2019-03-11","0000100-54.2019.5.21.0009"
"INSTRUÇÃO","2018-12-04","0001847-42.2017.5.06.0004"
"CONCILIAÇÃO","2018-05-21","0000121.69.2014.5.02.0062"
"OITIVA DE TESTEMUNHAS","2018-07-03","0010415.34.2017.5.15.0089"
"OITIVA DE TESTEMUNHAS","2018-07-02","1000058-84.2018.5.02.0709"
"PERÍCIA","2018-12-14",""
"OITIVA DE TESTEMUNHAS","2018-05-11","1000402-44.2018.5.02.0037"
"UNA","2018-06-20","0100496.65.2018.5.01.0321"
"UNA","2018-05-23","1002142-17.2017.5.02.0055"
"UNA","2018-05-30","1000511.47.2018.5.02.0073"
"INSTRUÇÃO","2018-07-12","0000999-41.2016.5.06.0020"
"INSTRUÇÃO","2018-09-04","0001477-46.2016.5.06.0021"
"JULGAMENTO","2018-05-23",""
"INSTRUÇÃO","2018-06-26","0021473-62.2017.5.04.0405"
"INSTRUÇÃO","2018-08-08","0021900-20.2016.5.04.0009"
"INSTRUÇÃO","2018-07-12","0021720-89.2016.5.04.0401"
"INICIAL","2019-08-01","1000802-92.2019.5.02.0079"
"INICIAL","2018-10-08","0020370-19.2018.5.04.0782"
"JULGAMENTO","2018-05-16","0020348-12.2015.5.04.0023"
"OITIVA DE TESTEMUNHAS","2018-10-31","1000441-37.2017.5.02.0082"
"CONCILIAÇÃO","2018-05-23","0000104-23.2016.5.07.0030"
"OITIVA DE TESTEMUNHAS","2018-10-24","0100552-93.2018.5.01.0064"
"INICIAL","2019-05-07","0020876-95.2018.5.04.0102"
"HOMOLOGAÇÃO","2018-05-15","0131789-94.2015.5.13.0007"
"INSTRUÇÃO","2019-03-27","0001039-05.2018.5.13.0005"
"UNA","2018-11-06","1000619-74.2018.5.02.0203"
"JULGAMENTO","2018-05-16","0020886-17.2015.5.04.0015"
"INSTRUÇÃO","2019-08-28","0012037-92.2017.5.15.0043"
"CONCILIAÇÃO","2018-05-22","0011261-13-2014-5-01-0003"
"CONCILIAÇÃO","2018-08-15","0000764-75-2012-5-02-0004"
"INSTRUÇÃO","2018-10-17","0001842-88.2016.5.07.0016"
"INSTRUÇÃO","2018-10-11","0001791-58.2017.5.07.0011"
"INSTRUÇÃO","2018-05-07","0000965-32.2017.5.07.0011"
"JULGAMENTO","2018-05-17","0020798-52.2015.5.04.0023"
"INSTRUÇÃO","2018-09-10","1001835-20.2017.5.02.0716"
"CONCILIAÇÃO","2018-05-23","0000383-72.2016.5.07.0009"
"PERÍCIA","2018-05-08","001/1.16.0143829-0"
"CONCILIAÇÃO","2018-05-25","0000883-74-2012-5-06-0020"
"JULGAMENTO","2018-05-09",""
"INICIAL","2018-05-28","0000231-72.2018.5.21.00069"
"INSTRUÇÃO","2018-07-04","1000763.87.2017.5.02.0072"
"UNA","2018-07-04","1001624-04.2017.5.02.0386"
"UNA","2018-07-04","1000142.26.2018.5.02.0082"
"INSTRUÇÃO","2018-07-04","1001851-87.2017.5.02.0064"
"INSTRUÇÃO","2018-07-05","1000264-39.2018.5.02.0082     "
"INSTRUÇÃO","2018-07-05","1000265-14.2017.5.02.0032"
"INSTRUÇÃO","2018-05-09","1001999.29.2016.5.02.0066"
"UNA","2018-07-11","1000554.13.2017.5.02.0010"
"INICIAL","2018-07-12","1001704-48.2017.5.02.0036"
"INSTRUÇÃO","2018-06-19","0000199-32.2018.5.05.0194"
"INSTRUÇÃO","2018-06-19","0020325-07.2017.5.04.0020"
"SUSTENTAÇÃO ORAL","2018-05-14","0000969-27.2016.5.07.0004"
"SUSTENTAÇÃO ORAL","2018-05-14","0000627-11.2015.5.07.0017"
"INSTRUÇÃO","2018-06-19","0001756-20.2017.5.07.0037"
"INSTRUÇÃO","2018-07-13","1001245-74.2017.5.02.0059"
"UNA","2018-07-16","1001685-15.2017.5.02.0045"
"UNA","2018-07-17","0011329-80.2017.5.15.0095"
"OITIVA DE TESTEMUNHAS","2018-07-17","0011983.5..2017.5.15.0034"
"UNA","2018-07-17","1002169-41.2017.5.02.0203"
"OITIVA DE TESTEMUNHAS","2018-07-18","1002056.45.2017.5.02.0314"
"UNA","2018-07-18","1000393.06.2017.5.02.0203"
"INSTRUÇÃO","2018-07-19","1001213.28.2017.5.02.0202"
"PERÍCIA","2018-07-25","0001449-39.2015.5.07.0004"
"JULGAMENTO","2018-10-17","0020630-37.2016.5.04.0404"
"UNA","2018-07-23","1000848.18.2017.5.02.0446"
"UNA","2018-07-23","1000392.21.2017.5.02.0203"
"INSTRUÇÃO","2019-02-27","1000764.42.2017.5.02.0082"
"INSTRUÇÃO","2019-07-23","0022195-66.2017.5.04.0221"
"UNA","2018-07-25","1001117.16.2017.5.02.0201"
"UNA","2018-05-24","0010350-47.2018.5.03.0183"
"INSTRUÇÃO","2018-07-26","1000764.42.2017.5.02.0082"
"INSTRUÇÃO","2018-04-13","1001991.26.2016.5.02.0204"
"INSTRUÇÃO","2018-08-28","1002039-31.2017.5.02.0048"
"INSTRUÇÃO","2018-05-09","0100545.52.2017.5.02.01.0027"
"CONCILIAÇÃO","2018-05-22","0000710.65.2015.5.02.0017"
"INSTRUÇÃO","2018-04-09","0010827-72.2017.5.15.0118"
"INICIAL","2019-02-06","0021296-64.2018.5.04.0405"
"SENTENÇA","2018-06-18","1000511.47.2018.5.02.0073"
"INSTRUÇÃO","2018-05-10","0022010-53.2016.5.04.0030"
"INSTRUÇÃO","2018-05-10","0100780.23.2017.5.01.0058"
"PERÍCIA","2018-05-11","5014661-55.2017.4.04.7112"
"CONCILIAÇÃO","2018-05-28","0101592-85.2017.5.01.0019"
"CONCILIAÇÃO","2018-05-25","0100233-35.2016-5-01-0246"
"CONCILIAÇÃO","2018-05-25","0100929-23-2016-5-01-0068"
"JULGAMENTO - ED","2018-05-16",""
"CONCILIAÇÃO","2018-05-24","0000163.44.2014.5.15.0002"
"JULGAMENTO","2018-05-30","0000674-02.2014.5.04.0761"
"CONCILIAÇÃO","2018-05-21","0021016-97.2015.5.04.0761"
"CONCILIAÇÃO","2018-05-21","0021125-44.2016.5.04.0772"
"INSTRUÇÃO","2019-03-12","0010484.32.2018.5.03.0100"
"UNA","2018-08-02","1000487-79.2018.5.02.0053"
"JULGAMENTO","2018-05-16","0020583-04.2014.5.04.0511"
"INSTRUÇÃO","2018-05-21","0101375.43.2017.5.01.0051"
"INSTRUÇÃO","2018-05-22","0000354-40.2016.5.07.0003"
"INSTRUÇÃO","2018-05-23","0000419-56.2017.5.07.0017"
"INSTRUÇÃO","2018-07-09","0021531-77.2017.5.04.0401"
"OITIVA DE TESTEMUNHAS","2018-05-24","1000343.53.2018.5.02.0068"
"INSTRUÇÃO","2018-12-14","1001581.29.2016.5.02.0313"
"INICIAL","2019-04-08","0020818-35.2018.5.04.0121"
"PERÍCIA","2018-05-28","9049343-51.2017.8.21.0001"
"INICIAL","2019-04-11","0020818-35.2018.5.04.0121"
"OITIVA DE TESTEMUNHAS","2018-05-24","CP0012255-67.2017.5.15.0093"
"UNA","2018-08-20","0020117-95.2018.5.04.0017"
"INICIAL","2018-08-30","0020479-45.2018.5.04.0002"
"INSTRUÇÃO","2018-10-03","1001278-39.2017.5.02.0714"
"JULGAMENTO","2018-05-28","0020561-82.2018.5.04.0000"
"JULGAMENTO","2018-05-30","0000679-74.2013.5.04.0303"
"INSTRUÇÃO","2018-07-20","0101821-50.2017.5.01.0082"
"INSTRUÇÃO","2018-09-14","1000728-16.2018.5.02.0033"
"JULGAMENTO","2018-06-05",""
"INSTRUÇÃO","2018-05-28","1001581.29.2016.5.02.0313"
"PERÍCIA","2018-05-22","0021618-63.2017.5.04.0003"
"OITIVA DE TESTEMUNHAS","2018-06-14","0010500.73.2018.5.15.0060"
"JULGAMENTO","2018-06-14","0021500.17.2014.5.04.0028"
"ENCERRAMENTO DE INSTRUÇÃO","2018-07-10","0001274-84.2016.5.05.0030"
"JULGAMENTO","2018-07-04","000747-03.2013.05.04.0019"
"PERÍCIA","2018-07-11","001/1.13.0184832-9"
"INICIAL","2018-07-04","0020557-06.2018.5.04.0401"
"INICIAL","2018-11-12","0010526-97.2018.5.15.0116"
"JULGAMENTO","2018-05-16","0020300.47.2016.5.04.0531"
"UNA","2018-10-15","1001247-47.20175.02.0446"
"INSTRUÇÃO","2018-05-23","0001051-82.2017.5.07.0017"
"JULGAMENTO","2018-05-24","0020701-76.2015.5.04.0015"
"INSTRUÇÃO","2018-07-03","0020701-50.2017.5.04.0001"
"PERÍCIA","2018-07-26","001/1.15.0167968-7"
"OITIVA DE TESTEMUNHAS","2018-05-23","CP0000364-08.2018.5.09.0020"
"SUSTENTAÇÃO ORAL","2018-08-06","0000526-56.2014.5.07.0001"
"OITIVA DE TESTEMUNHAS","2018-05-28","0000031-30.2018.5.12.0034"
"OITIVA DE TESTEMUNHAS","2018-05-29","CP0020192-07.2018.5.04.0512"
"OITIVA DE TESTEMUNHAS","2018-08-27","0000031-30.2018.5.12.0034"
"UNA","2020-03-26","1001620-17.2019.5.02.0088"
"PERÍCIA","2018-08-17",""
"OITIVA DE TESTEMUNHAS","2018-05-29","CP0020192-07.2018.5.04.0512"
"CONCILIAÇÃO","2018-05-22","0021716-78.2014.5.04.0221"
"INICIAL","2018-08-02","0012314-83.2017.5.15.0116"
"UNA","2018-07-04","1000360.37.2018.5.02.0411"
"INSTRUÇÃO","2018-05-29","1001904-87.2017.5.02.0090"
"CONCILIAÇÃO","2018-06-06","0000600-95-2012-5-02-0009"
"INSTRUÇÃO","2018-05-21","0020129-13.2017.5.04.0028"
"UNA","2018-06-13","1002451-76.2017.5.02.0204"
"OITIVA DE TESTEMUNHAS","2018-07-23","1000636.53.2018.5.02.0707"
"JULGAMENTO","2018-05-24","122120-11.2018.8.21.7000"
"JULGAMENTO","2018-05-24",""
"JULGAMENTO","2018-06-07",""
"JULGAMENTO","2018-06-13","0020227.32.2015.5.04.0007"
"JULGAMENTO","2018-06-14","0020638.46.2014.5.04.0028"
"JULGAMENTO","2018-06-14","0020063-72.2013.5.04.0028"
"INICIAL","2018-06-12","0020477-21.2018.5.04.0020"
