"tramite_audiencia_name","tramite_audiencia_date","tramite_audiencia_numero_processo"
"PERÍCIA","2016-09-16",""
"OITIVA DE TESTEMUNHAS","2016-09-21",""
"JULGAMENTO","2016-09-21","0001256.04.2012.5.04.0007"
"CONCILIAÇÃO","2016-10-04","0020126-23.2015.5.04.0030"
"INSTRUÇÃO","2019-06-10","0101517.92.2016.5.01.0015"
"INSTRUÇÃO","2017-08-08",""
"INICIAL","2018-03-01","0021679-64.2017.5.04.0021"
"PERÍCIA","2016-07-27","5039384-14.2016.4.04.7100"
"PERÍCIA","2016-08-03",""
"PERÍCIA","2016-08-05","5045310-73.2016.4.04.7100"
"PERÍCIA","2016-08-11",""
"INICIAL","2016-08-16",""
"PERÍCIA","2016-12-16","001/1.15.0201283-0"
"JULGAMENTO","2017-08-23",""
"INSTRUÇÃO","2017-08-01",""
"INICIAL","2016-12-01","0022024-37.2016.5.04.0030"
"JULGAMENTO","2016-08-10","5002539-90.2015.4.04.7108"
"PERÍCIA","2017-09-06","004/1.16.0006141-9"
"INICIAL","2016-09-05",""
"PERÍCIA","2016-08-22",""
"INICIAL","2016-09-06",""
"INICIAL","2016-08-23",""
"PERÍCIA","2016-08-24",""
"INICIAL","2016-09-09","247"
"PERÍCIA","2016-09-09","0021397-42.2016.5.04.0221"
"PERÍCIA","2016-09-09","001/1.16.0084884-3"
"INSTRUÇÃO","2016-08-25",""
"PERÍCIA","2016-09-01","5004922-29.2015.4.04.7112"
"PERÍCIA","2016-09-09","001/1.16.0084870-3"
"PERÍCIA","2016-09-14",""
"INICIAL","2016-09-14",""
"PERÍCIA","2016-07-22",""
"INSTRUÇÃO","2016-08-03",""
"OITIVA DE TESTEMUNHAS","2016-08-03",""
"INSTRUÇÃO","2016-08-04",""
"JULGAMENTO","2016-08-03","5049818-96.2015.4.04.7100"
"JULGAMENTO","2016-08-03","5006772-18.2015.4.04.7113"
"JULGAMENTO","2016-08-03","5065075-64.2015.4.04.7100"
"JULGAMENTO","2016-08-03","5063530-56.2015.4.04.7100"
"JULGAMENTO","2016-08-04","001/1.15.0178337-9"
"JULGAMENTO","2016-08-04","001/1-13-0024357-1"
"JULGAMENTO","2016-08-04","0063180-74-2013-8-21-0001"
"PERÍCIA","2016-08-09",""
"INSTRUÇÃO","2016-08-09",""
"INSTRUÇÃO","2016-08-09",""
"INSTRUÇÃO","2016-11-09",""
"UNA","2018-06-26","0001681-77.2017.5.07.0005"
"INICIAL","2018-02-27","0021653-69.2017.5.04.0020"
"INICIAL","2017-03-07","0022447-94.2016.5.04.0030"
"INSTRUÇÃO","2017-02-10","0021682-60.2015.5.04.0030"
"PERÍCIA","2016-10-05","0020762-86.2015.5.04.0030"
"UNA","2018-03-08","0001860-12.2017.5.07.0037"
"PERÍCIA","2016-10-06","0021110-70.2016.5.04.0030"
"INSTRUÇÃO","2017-03-02","0020414-34.2016.5.04.0030"
"INSTRUÇÃO","2017-08-29","0020470-67.2016.5.04.0030"
"PERÍCIA","2016-10-18","0022264-60.2015.5.04.0030"
"INSTRUÇÃO","2016-10-18","0020416-62.2016.5.04.0334"
"PERÍCIA","2016-10-21","001/1.16.0102217-5"
"INICIAL","2016-09-06","0021336-06.2014.5.04.0205"
